español,francés,catalán,inglés
"en ke aβia estaðo pensando, deβia ðe aβeɾ siðo una ilusjon optika",kɛ-sə ki ave bjɛ̃ py lɥi pase paɾ la tɛtə? il ave dy sə l(e)se abyze paɾ œ̃ ɾəfle dy sɔlɛj syɾ lə tɾɔtwaɾ.,"ən kɛ təβiə əsta pənsan, dəβiə əbɛ əstað un əfektə tə lə ʎum",
el seɲoɾ ðuɾslej paɾpaðeo i kontemplo al Gato,mɾ dyɾslɛi kliɲadez‿ jøx‿e ɾəgaɾda figzəmə lə ʃa.,əl səɲo tuɾslej pa pəɾpəʎəʒa i pa miɾa əl kat,
este le ðeβolbjo la miɾaða,səlɥi-si sutɛ̃ sõ ɾəgaɾ.,əl kat təmbe sel pa miɾa,
"mjentɾas el seɲoɾ ðuɾslej ðaβa la Bwelta a la eskina i suβia poɾ la kaʝe, obseɾbo al Gato poɾ el espexo retɾoβisoɾ","tɑ̃di kil tuɾne lə kwɛ̃ də la ɾɥe sɑ̃gaʒɛe syɾ la ɾutə, mɾ dyɾslɛi kõtinɥa dɔpsɛɾve lə ʃa dɑ̃ sõ ɾetɾɔvizœɾ.","mentɾə əl səɲo tuɾslej ʒiɾabə ə lə kəntunaðə i puʒabə pəl kəre, pa kuntinua ubsəɾban əl kat pəl rətɾuβizo",
"en akel momento el felino estaβa leʝendo el rotulo ke ðeθia, pɾiβet ðɾajf, no poðia seɾ, los Gatos no saβen leeɾ los rotulos ni los planos","lanimal etɛt‿ɑ̃ tɾɛ̃ də liɾə la plakə ki ɛ̃dike « pɾive dɾivə »—me nõ, vwajõ, il nə lize pa, il ɾəgaɾde la plakə.le ʃa sõt‿ ɛ̃kapablə də liɾəde kaɾtəz‿ udez‿ ekɾito.","ən əkɛʎ mumen əl kad ʎəʒiə əl kəɾteʎ kə tɛjə, kəre pɾibɛt. no, əl kə fɛjə eɾə miɾa əl kəɾteʎ, əls katz no ʎəʒɛʃən ni mapəz ni kəɾteʎs",
", el seɲoɾ ðuɾslej meneo la kaβeθa i alexo al Gato ðe sus pensamjentos",mɾ dyɾslɛi sə ɾəs(e)zit‿e ʃasa lə ʃa tigɾe də sõn‿ ɛspɾi.,əs pa tuna un kupɛð əl kaβ i pa təʃa tə pənsa ən əl kat,
mjentɾas iβa a la θjuðad en koʧe no penso mas ke en los peðiðos ðe talaðɾos ke espeɾaβa konseɣwiɾ akel ðia,"dyɾɑ̃ lə tɾaʒe ki lə mənevεɾ lavilə, il kõsɑ̃tɾase pɑ̃seə syɾ lagɾosə kɔmɑ̃də də pɛɾsøzə kil ɛspeɾɛt‿ ɔptəniɾ sə ʒuɾ-la.",mentɾə kunduiə kaβ əl sentɾə no pa pənsa ən rɛz mes kə lə gɾan kumandə tə bɾɔkəs kə əspəɾabə rɛbɾə əkɛʎ tiə,
peɾo en las afweɾas okurjo algo ke apaɾto los talaðɾos ðe su mente,me lɔɾskil paɾvɛ̃t‿ ox‿ abɔɾ də lavilə kɛlkə ʃozə dotɾə ʃasale pɛɾsøzə də sa tɛtə.,"pəɾɔ kwan əstabə ə pun təriβa əl sentɾə, ləs bɾɔkəz li pan fuʒi təl kap pəɾ kulpə tunə altɾə kɔzə",
"mjentɾas espeɾaβa en el aβitwal emboteʝamjento matutino, no puðo ðexaɾ ðe adbeɾtiɾ una ɣɾan kantiðad ðe xente Bestiða ðe foɾma ekstɾaɲa","asiz‿ o miljøde abitœlz‿ ɑ̃butɛjaʒə dy matɛ̃, il fy bjɛ̃ fɔɾse də ɾəmaɾke la pɾezɑ̃sə də plyzjœɾ pasɑ̃ v(e)ty dyn etɾɑ̃ʒə fasɔn:","ətɾəpað ən ləmbus tə kotʃəs tə kaðə məti, pa əkəβa pəɾ əðunaɾsə kə i əβiə moltə ʒen pəstiðə tunə məneɾə əstɾaɲə",
indiβiðwos kon kapa,il pɔɾtede kapə.,puɾtabən kapə,
"el seɲoɾ ðuɾslej no sopoɾtaβa a la xente ke ʝeβaβa ropa riðikula, a, los konxuntos ke ʝeβaβan los xoβenes",mɾ dyɾslɛi nə sypɔɾte paleʒɑ̃ ki sabije dynə manjɛɾ ɛkstɾavagɑ̃tɛ—lə ʒœnəz‿ ave paɾfwa dəsez‿ akutɾəmɑ̃!,"əl səɲo tuɾslej no supuɾtabə ləs pəɾsonəs kə puɾtabən rɔbə tə pəʎasu, kinəs tisfɾɛsəs kə tuən, əlz ʒobəs",
supuso ke ðeβia ðe seɾ una moða nweβa,il pɑ̃sa kil saʒise dynə nuvɛlə mɔdə paɾtikyljɛɾəmə stypidə.,ba supuza kə eɾə əlgunə mɔdə riðikulə kə əkəβabə tə suɾti,
"tamboɾileo kon los ðeðos soβɾe el Bolante i su miɾaða se poso en unos ekstɾaɲos ke estaβan θeɾka ðe el, kuʧiʧeaβan entɾe si, mwi eksθitaðos",il pjanɔta syɾ lə vɔlɑ̃ də sa vwatyɾe sõ ɾəgaɾ ɾɑ̃kõtɾa œ̃ gɾupə dəsez‿ ɔlibɾjy ki sə ʃyʃɔtede ʃozəz‿ a lɔɾɛjə dœ̃n‿ ɛɾ syɾɛkssite.,"ba pika əl pulan am əls titz i əs pa fiksaɾ ən un gɾup tindiβiðuz əstɾaɲs kə i əβiə pəɾ əʎa, ʃərabən mol ənimats",
el seɲoɾ ðuɾslej se emfuɾeθjo al ðaɾse kwenta ðe ke ðos ðe los ðeskonoθiðos no eɾan xoβenes,mɾ dyɾslɛi sirritaɑ̃ vwajɑ̃ kə dø dɑ̃tɾ ø nete pa ʒœnə dy tu.,əl səɲo tuɾslej əs pa əmfuɾisma kwan pa pewɾə kə ni əβiə un pəɾɛʎ kə no eɾən ʒɛnz ʒobəs,
"bamos, uno eɾa inkluso maʝoɾ ke el, i Bestia una kapa Beɾde esmeɾalda, ke Baloɾ","se ɔmə, la-ba, ete syɾəmə plyz‿ ɑʒe kə lɥi, sə ki nə lɑ̃p(e)ʃe pa də pɔɾte ynə kapə vɛɾt‿ eməɾodə! kɛl ɛ̃pydɑ̃sə!",", kɔm, un ɔmə kə eɾə mes gɾan kə eʎ puɾtabə unə kapə tə kulo pɛɾt məɾagdə, kin pukəβəɾgoɲə",
"peɾo entonθes se le okurjo ke ðeβia ðe seɾ alguna tonteɾia puβliθitaɾja, eɾa eβiðente ke akeʝa xente aθia una kolekta paɾa algo",mɾ dyɾslɛi pɑ̃sa alɔɾ kil dəvɛt‿ i avwaɾ yn animasjõ də ɾœ—səʒɑ̃z‿ ete pɾɔbabləmə la puɾ kɔlɛkte də laɾʒət‿ o pɾɔfi dyn œvɾə kɛlkõkə.,"ʎəbɔɾs sə li pa əkuði kə təβiə se unə məneɾə kɔm kwəlsəbɔl altɾə tə kɾiða lətənsio, eɾə əβiden kə əkɛʎə ʒen rəkəptabə tines pəɾ ə əlgunə kɔzə",
"si, tenia ke seɾ eso",sə nə puvɛt‿ ɛtɾə kə sa.,"si, eɾə əʎɔ",
"el tɾafiko aβanθo i, unos minutos mas taɾde, el seɲoɾ ðuɾslej ʝeɣo al apaɾkamjento ðe ɣɾunings, pensando nweβamente en los talaðɾos","la filəde vwatyɾə sə ɾəmit‿ɑ̃ muvəmət‿e kɛlkə minytə ply taɾ, mɾ dyɾslɛi sə ɾɑ̃ʒɛa dɑ̃ lə paɾkɛ̃ də la gɾynɛ̃.le pɛɾsøzəz‿ ave ɾəpɾi lœɾ plasə dɑ̃se pɑ̃seə.",əls kotʃəz əs pan kumənsa ə mɔwɾə i pɔkz minuts təspɾez əl səɲo tuɾslej pa əriβa ə ləpaɾkəmen tə gɾuninkz i ʒa tuɾnabə ə pənsa ən bɾɔkəs,
"el seɲoɾ ðuɾslej sjempɾe se sentaβa ðe espaldas a la Bentana, en su ofiθina ðel noβeno piso","dɑ̃ sõ byɾo dy ɥitjɛm etaʒə, mɾ dyɾslɛi sasɛje tuʒuɾ doz‿ a la fənɛtɾə.","əl sew təspatʃ təl nubɛ pis, əl səɲo tuɾslej sempɾə səsɛjə təskɛnə ə lə finestɾə",
"si no lo uβjeɾa eʧo asi, akeʝa maɲana le aβɾia kostaðo konθentɾaɾse en los talaðɾos","silɑ̃n‿ avɛt‿ ete otɾəmə, il ɔɾe sɑ̃ duty œ̃ pø ply də mal kə dabityd a sə kõsɑ̃tɾe syɾse pɛɾsøzə, sə matɛ̃-la.","si no əgez əstað əʃi, əkɛʎ məti putse li əwɾiə kustad mes kunsəntɾaɾsə ən ləs bɾɔkəs",
"no Bjo las leʧuθas ke Bolaβan en pleno ðia, awnke en la kaʝe si ke las Beian","il nə vi pale ibuks ki vɔlɛt‿ a tiɾə-dajɑ̃ plɛ̃ ʒuɾ. mɛz‿ɑ̃ ba, dɑ̃ la ɾɥə,le pasɑ̃, ø,le vwaje bɛle bjɛ̃.","eʎ no pa pewɾə əlz musɔls kə plənabən pəl sɛl ə plɛnə ʎum təl tiə, pəɾɔ əls kə eɾən əl kəre si kə əls pan pewɾə",
la maʝoɾia ðe akeʝas peɾsonas no aβia Bisto una leʧuθa ni sikjeɾa ðe noʧe,"buʃə beə, il pwɛ̃te lə dwavεɾ lə sjɛl, tɑ̃di kəle ɾapasə filɛt‿ odəsy də lœɾ tɛtə.","əsəɲəlabən əlz musɔlz am əl tið i ubsəɾbabən, pukəβəðats, kɔm pulabən pəɾ təmun teʎs",
"i las seɲalaβan kon la Boka aβjeɾta, mjentɾas las aβes ðesfilaβan una tɾas otɾa","la plypaɾ dɑ̃tɾ ø nave ʒame vy də ibu, mɛmə la nɥi.",lə məʒuɾiə no əβiə pisd maj un musɔl ni tə nit,
"sin embaɾgo, el seɲoɾ ðuɾslej tuβo una maɲana peɾfektamente noɾmal, sin leʧuθas","mɾ dyɾslɛi, səpɑ̃dɑ̃, nə ɾəmaɾka ɾjɛ̃ danɔɾmalet‿ okœ̃ ibu nə vɛ̃ tɾuble sa matineə.","əl səɲo tuɾslej, pəɾɔ, pa pəsa un məti sensə musɔls, tutalmen nuɾmal",
"gɾito a θinko peɾsonas, iθo ʝamaðas telefonikas impoɾtantes i Bolbjo a ɣɾitaɾ","il ɾepɾimɑ̃da vɛɾtəmət‿ ynə dəmi-duzɛnə dəsez‿ ɑ̃plwaje, pasa plyzjœɾ ku də fil ɛ̃pɔɾtɑ̃z‿e pusa kɛlkə yɾləmɑ̃ syplemɑ̃tɛɾə.","ba əskɾiðəsa sink pəɾsonəs, pa fe unəs kwantəs tɾukaðəz impuɾtanz i pa kɾiða ənkaɾə unə mikə mes",
"estuβo ðe mwi Bwen umoɾ asta la oɾa ðe la komiða, kwando ðeθiðjo estiɾaɾ las pjeɾnas i ðiɾixiɾse a la panaðeɾia ke estaβa en la aθeɾa ðe emfɾente,",il sə sɑ̃ti dɛkssɛlɑ̃tə ymœɾ ʒyska lœɾə dy deʒœne u il sõʒɛa kil səɾe bõ də sə deguɾdiɾ œ̃ pøle ʒɑ̃bə. il tɾavɛɾsa alɔɾ la ɾɥə puɾ ale saʃəte kɛlkə ʃoz a mɑ̃ʒe ʃe lə bulɑ̃ʒe dɑ̃ fasə.,"ba əsta tə mol pɔn umoɾ finz ə lɔɾə tə tina, kwan pa pənsa kə əstəɾiə pe əstiɾa unə mikə ləs kaməz i pa pəʃa əl foɾn təl təban pəɾ kumpɾaɾsə unə pastə,",
