español,francés,catalán,inglés
"Durante un segundo, el señor Dursley no se dio cuenta de lo que había visto, pero luego volvió la cabeza para mirar otra vez.","Pendant un instant, Mr Dursley ne comprit pas très bien ce qu'il venait de voir. Il tourna alors la tête pour regarder une deuxième fois.","Per un segon, el senyor Dursley no va entendre el que havia vist, llavors va girar el cap d’una revolada per mirar un altre cop.",
"Sí había un gato atigrado en la esquina de Privet Drive, pero no vio ningún plano.","Il y avait bien un chat tigré, assis au coin de Privet Drive, mais pas la moindre trace de carte routière.","Hi havia un gat tigrat immòbil a la cantonada del carrer Privet, però no s’hi veia cap mapa.",
¿En qué había estado pensando? Debía de haber sido una ilusión óptica.,Qu'est-ce qui avait bien pu lui passer par la tête? Il avait dû se laisser abuser par un reflet du soleil sur le trottoir.,¿En què devia estar pensant? Devia haver estat un efecte de la llum.,
El señor Dursley parpadeó y contempló al gato.,Mr Dursley cligna des yeux et regarda fixement le chat.,El senyor Dursley va parpellejar i va mirar el gat.,
Éste le devolvió la mirada.,Celui-ci soutint son regard.,El gat també se’l va mirar.,
"Mientras el señor Dursley daba la vuelta a la esquina y subía por la calle, observó al gato por el espejo retrovisor:","Tandis qu'il tournait le coin de la rue et s'engageait sur la route, Mr Dursley continua d'observer le chat dans son rétroviseur.","Mentre el senyor Dursley girava a la cantonada i pujava pel carrer, va continuar observant el gat pel retrovisor.",
"en aquel momento el felino estaba leyendo el rótulo que decía «Privet Drive» (no podía ser, los gatos no saben leer los rótulos ni los planos).","L'animal était en train de lire la plaque qui indiquait « Privet Drive »—mais non, voyons, il ne lisait pas, il regardait la plaque. Les chats sont incapables de lire des cartes ou des écriteaux.","En aquell moment el gat llegia el cartell que deia «Carrer Privet». No, el que feia era mirar el cartell: els gats no llegeixen ni mapes ni cartells.",
El señor Dursley meneó la cabeza y alejó al gato de sus pensamientos.,Mr Dursley se ressaisit et chassa le chat tigré de son esprit.,Es va donar un copet al cap i va deixar de pensar en el gat.,
Mientras iba a la ciudad en coche no pensó más que en los pedidos de taladros que esperaba conseguir aquel día.,"Durant le trajet qui le menait vers la ville, il concentra ses pensées sur la grosse commande de perceuses qu'il espérait obtenir ce jour-là.",Mentre conduïa cap al centre no va pensar en res més que la gran comanda de broques que esperava rebre aquell dia.,
Pero en las afueras ocurrió algo que apartó los taladros de su mente.,Mais lorsqu'il parvint aux abords de la ville quelque chose d'autre chassa les perceuses de sa tête.,"Però quan estava a punt d’arribar al centre, les broques li van fugir del cap per culpa d’una altra cosa.",
"Mientras esperaba en el habitual embotellamiento matutino, no pudo dejar de advertir una gran cantidad de gente vestida de forma extraña.","Assis au milieu des habituels embouteillages du matin, il fut bien forcé de remarquer la présence de plusieurs passants vêtus d'une étrange façon:","Atrapat en l’embús de cotxes de cada matí, va acabar per adonar-se que hi havia molta gent vestida d’una manera estranya.",
Individuos con capa.,ils portaient des capes.,Portaven capa.,
"El señor Dursley no soportaba a la gente que llevaba ropa ridícula. ¡Ah, los conjuntos que llevaban los jóvenes!",Mr Dursley ne supportait pas les gens qui s'habillaient d'une manière extravagante—les jeunes avaient parfois de ces accoutrements!,"El senyor Dursley no suportava les persones que portaven roba de pallasso (quines disfresses que duen, els joves!).",
Supuso que debía de ser una moda nueva.,Il pensa qu'il s'agissait d'une nouvelle mode particulièrement stupide.,Va suposar que era alguna moda ridícula que acabava de sortir.,
"Tamborileó con los dedos sobre el volante y su mirada se posó en unos extraños que estaban cerca de él. Cuchicheaban entre sí, muy excitados.",Il pianota sur le volant de sa voiture et son regard rencontra un groupe de ces olibrius qui se chuchotaient des choses à l'oreille d'un air surexcité.,Va picar el volant amb els dits i es va fixar en un grup d’individus estranys que hi havia per allà. Xerraven molt animats.,
El señor Dursley se enfureció al darse cuenta de que dos de los desconocidos no eran jóvenes.,Mr Dursley s'irrita en voyant que deux d'entre eux n'étaient pas jeunes du tout.,El senyor Dursley es va enfurismar quan va veure que n’hi havia un parell que no eren gens joves.,
"Vamos, uno era incluso mayor que él, ¡y vestía una capa verde esmeralda! ¡Qué valor!","Cet homme, là-bas, était sûrement plus âgé que lui, ce qui ne l'empêchait pas de porter une cape vert émeraude! Quelle impudence!",¿Com? Un home que era més gran que ell portava una capa de color verd maragda! Quin pocavergonya!,
Pero entonces se le ocurrió que debía de ser alguna tontería publicitaria; era evidente que aquella gente hacía una colecta para algo.,Mr Dursley pensa alors qu'il devait y avoir une animation de rue—ces gens étaient probablement là pour collecter de l'argent au profit d'une oeuvre quelconque.,Llavors se li va acudir que devia ser una manera com qualsevol altra de cridar l’atenció: era evident que aquella gent recaptava diners per a alguna cosa.,
"Sí, tenía que ser eso.",Ce ne pouvait être que ça.,"Sí, era allò.",
"El tráfico avanzó y, unos minutos más tarde, el señor Dursley llegó al aparcamiento de Grunnings, pensando nuevamente en los taladros.","La file des voitures se remit en mouvement et quelques minutes plus tard, Mr Dursley se rangea dans le parking de la Grunnings. Les perceuses avaient repris leur place dans ses pensées.",Els cotxes es van començar a moure i pocs minuts després el senyor Dursley va arribar a l’aparcament de Grunnings i ja tornava a pensar en broques.,
"El señor Dursley siempre se sentaba de espaldas a la ventana, en su oficina del noveno piso.","Dans son bureau du huitième étage, Mr Dursley s'asseyait toujours dos à la fenêtre.","Al seu despatx del novè pis, el senyor Dursley sempre s’asseia d’esquena a la finestra.",
"Si no lo hubiera hecho así, aquella mañana le habría costado concentrarse en los taladros.","S'il en avait été autrement, il aurait sans doute eu un peu plus de mal que d'habitude à se concentrer sur ses perceuses, ce matin-là.","Si no hagués estat així, aquell matí potser li hauria costat més concentrar-se en les broques.",
"No vio las lechuzas que volaban en pleno día, aunque en la calle sí que las veían","Il ne vit pas les hiboux qui volaient à tire-d'aile en plein jour. Mais en bas, dans la rue, les passants, eux, les voyaient bel et bien.","Ell no va veure els mussols que planaven pel cel a plena llum del dia, però els que eren al carrer sí que els van veure.",
"y las señalaban con la boca abierta, mientras las aves desfilaban una tras otra.","Bouche bée, ils pointaient le doigt vers le ciel, tandis que les rapaces filaient au-dessus de leur tête.","Assenyalaven els mussols amb el dit i observaven, bocabadats, com volaven per damunt d’ells.",
La mayoría de aquellas personas no había visto una lechuza ni siquiera de noche.,"La plupart d'entre eux n'avaient jamais vu de hibou, même la nuit.",La majoria no havia vist mai un mussol ni de nit.,
"Sin embargo, el señor Dursley tuvo una mañana perfectamente normal, sin lechuzas.","Mr Dursley, cependant, ne remarqua rien d'anormal et aucun hibou ne vint troubler sa matinée.","El senyor Dursley, però, va passar un matí sense mussols, totalment normal.",
Gritó a cinco personas. Hizo llamadas telefónicas importantes y volvió a gritar.,"Il réprimanda vertement une demi-douzaine de ses employés, passa plusieurs coups de fil importants et poussa quelques hurlements supplémentaires.","Va escridassar cinc persones, va fer unes quantes trucades importants i va cridar encara una mica més.",
"Estuvo de muy buen humor hasta la hora de la comida, cuando decidió estirar las piernas y dirigirse a la panadería que estaba en la acera de enfrente.",Il se sentit d'excellente humeur jusqu'à l'heure du déjeuner où il songea qu'il serait bon de se dégourdir un peu les jambes. Il traversa alors la rue pour aller s'acheter quelque chose à manger chez le boulanger d'en face.,"Va estar de molt bon humor fins a l’hora de dinar, quan va pensar que estaria bé estirar una mica les cames i va baixar al forn del davant per comprar-se una pasta.",
